ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,4.5,,,,Yok,IPS,,,16 GB,Belirtilmemiş,Siyah,512 GB,,,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro5-an515-58-corei5-12500h-16gb-512gb-ssd-rtx3050ti-4gb-fdos-15-6-fhd-notebook-nh-qfley-002-p-343189116,26.299 TL
,16 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-10-home-15-6-fhd-144hz-p-764509828,"31.679,99 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.7,,,,Yok,IPS,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.6,,,,,,,,,1920 x 1080,Full HD (FHD),,13500H,13. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-5-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736036458,"36.369,43 TL"
,64 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.7,,,,Yok,VA,,,32 GB,DDR4,Siyah,1 TB,,,,1.7,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Linux,6 Saat ve Üstü,https://www.trendyol.com//dell/inspiron-3520-intel-core-i7-1255u-32gb-1tb-ssd-ubuntu-15-6-i35201013ua58-p-749890833,"22.627,18 TL"
,16 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Var,16 inç,,,,,AMD Radeon R3,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,512 GB,,Q Türkçe + Numerik (Aydınlatmalı),,Ofis - İş,,,,,,Yok,,,,16 GB,LPDDR4X,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1200,HD Ready (HD),,7700X,5. Nesil,AMD Ryzen 7,1,Windows,,https://www.trendyol.com//lenovo/ideapad-flex-5-16alc7-2-in-1-16-fhd-dokunmatik-ekran-amd-ryzen-7-5700u-16gb-ram-512gb-ssd-p-759168837,25.595 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.2,,,,Yok,VA,,,8 GB,DDR4,Siyah,256 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//hp/250-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-siyah-853u7es-p-773440801,10.890 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,5.0,,,,Yok,IPS,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-17-3-fhd-144-hz-p-736981820,42.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,TN,,,4 GB,DDR4,Gri,128 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,4. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//asus/x415ma-ek741w-intel-celeron-n4020-4gb-128gb-ssd-w11-14-fhd-p-764169921,6.910 TL
,16 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.4,,,,Yok,IPS,,,16 GB,DDR4,Siyah,512 GB,,,,2,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-i5-12450h-16gb-512gb-ssd-4gb-rtx-3050-ti-15-6-fhd-fdos-82s9013vtx-p-739407614,25.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Var,"14,5 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,120 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Tasarım,,+5,,,,Yok,,,,32 GB,LPDDR5,Siyah,2 TB,Gen 4,,,4.1,,,,,,,,,2880 x 1800,WQXGA,,13900H,13. Nesil,Intel Core i9,14,Windows,6 Saat ve Üstü,https://www.trendyol.com//asus/zenbook-pro-14-duo-ux8402vv-p1018w2-i9-13900h-32gb-2tb-rtx4060-14-5-fhd-touch-oled-ekran-w11-p-758129180,"168.299,01 TL"
,16 GB,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Siyah,500 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//everest/everbook-eb-15r-i5-1135g7-8gb-500ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-639508517,"10.691,01 TL"
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,"15,6 inç",,,,,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,4 GB,Belirtilmemiş,Çok Renkli,128 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,Belirtilmemiş,Intel Celeron,Belirtilmemiş,Windows,,https://www.trendyol.com//acer/aspire-3-a315-35-intel-celeron4500-1-10ghz-paylasimli-uhd-graphics-4gb-ram-128ssd-15-6-fhd-ek-p-685285983,7.389 TL
,16 GB,USB - Bluetooth - HDMI,,HDMI,,2 - 4 kg,Belirtilmemiş,Yok,"15,6 inÃ§",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,144 Hz,Belirtilmemiş,,2 YÄ±l,2 Yıl,Asus TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e + Numerik (AydÄ±nlatmalÄ±),Oyun,Ev - Okul,,,,,,Yok,IPS,8 GB,DDR4,16 GB,Belirtilmemiş,Siyah,512 GB,,,,Belirtilmemiş,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-hn373-i5-11400h-8gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-144hz-bilgisayar-p-411886051,27.599 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gümüş,1 TB,,,,Belirtilmemiş,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,5. Nesil,Intel Celeron,2,Free Dos,,https://www.trendyol.com//asus/x515ma-br918a6-n4020-16gb-1tbssd-15-6-hd-freedos-tasinabilir-bilgisayar-p-700499490,"13.710,51 TL"
,16 GB,,,USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce MX450,Belirtilmemiş,Paylaşımlı,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,512 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,8 GB,DDR4,Siyah,SSD Yok,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//acer/aspire-5-11-nesil-core-i5-1135g7-8gb-512gb-ssd-15-6inc-mx450-2gb-w11-p-779208861,15.999 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,Yok,IPS,,,8 GB,DDR5,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp051-6gb-rtx4050-ryzen-7-7735hs-8gb-ram-512gb-ssd-15-6-inc-fhd-144hz-p-687843369,30.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,5.0,,,,Yok,IPS,,,16 GB,DDR4,Siyah,1 TB,Gen 4,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035504,35.799 TL
,16 GB,,,Bluetooth,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4060,GDDR6X,8 GB,Harici,,165 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,5.0,,,,Yok,IPS,,,32 GB,DDR5,Gri,1 TB,Gen 4,,,Belirtilmemiş,,,,,,,,,2560 x 1600,WQHD,,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1370-dfb0x-c-intel-core-i7-13700hx-32gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672182432,47.799 TL
4 GB,16 GB,HDMI,,HDMI,,2 kg ve AltÄ±,Belirtilmemiş,Yok,"15,6 inÃ§",Intel UHD Graphics,BelirtilmemiÅŸ,PaylaÅŸÄ±mlÄ±,Harici,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,BelirtilmemiÅŸ,Belirtilmemiş,,2 YÄ±l,2 Yıl,Resmi DistribÃ¼tÃ¶r Garantili,,,HDD Yok,256 GB,Q TÃ¼rkÃ§e,Ev - Okul,Ev - Okul,4.2,,,,Yok,Yok,IPS,4 GB,DDR4,16 GB,Belirtilmemiş,Gri,256 GB,,AM5,2.4,Belirtilmemiş,1920 x 1080,Full HD (FHD),1115G4,11. Nesil,Intel Core i3,2,Windows,3 Saat ve AltÄ±,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//asus/x515ea-bq945w-11-nesil-core-uyumlu-i3-1115g4-4gb-256gb-ssd-15-6inc-w11-p-691001649,9.899 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,,,,,Yok,,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506lh-hn004w03-i5-10300h-16gb-512ssd-gtx1650-15-6-w11h-tasinabilir-bilgisayar-p-331641546,"26.135,01 TL"
,16 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,Yok,IPS,,,16 GB,DDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1200,FHD+,,13650HX,13. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614jv-n3157-13-nesil-intel-i7-13650hx-16gb-512gb-ssd-8gb-rtx4060-16-fhd-165hz-p-660265163,"51.405,32 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.0,,,,Yok,IPS,,,8 GB,DDR4,Gri,500 GB,Gen 3,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-5500-8v00x-g-f-amd-ryzen-5-5500u-8gb-500gb-nvme-ssd-15-6-dos-gri-dizustu-bilgisayar-p-773800573,"11.515,21 TL"
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,8 GB,DDR4,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//huawei/matebook-d15-intel-core-i3-1115g4-8gb-256gb-ssd-fhd-windows-11-home-p-302313191,19.999 TL
,16 GB,,,USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,,Oyun,,,,,,Yok,Full HD,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12-nesil-core-i7-12650h-rtx4050-6gb-16gb-512gb-ssd-15-6inc-freedos-p-779232291,40.670 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.7,,,,Yok,TN,,,16 GB,DDR4,Siyah,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//msi/katana-gf76-12ue-830xtr-intel-core-i7-12650h-16-gb-1-tb-ssd-rtx3060-freedos-17-3-144hz-p-767732239,39.999 TL
,16 GB,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,,,,,Yok,,,,8 GB,DDR4,Mavi,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1502za-ej1070-i5-1235u-8gb-ram-512gb-ssd-15-6-inc-fhd-freedos-p-737851016,13.299 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,4.4,,,,Yok,TN,,,8 GB,DDR4,Siyah,256 GB,,,,3.3,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//asus/vivobook-15-x1502za-ej922-i5-1235u-8gb-256gb-ssd-15-6-fhd-freedos-p-738098538,13.999 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,IPS,,,16 GB,DDR4,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/thinkbook-15-g3-acl-r5-5500u-16gb-256gb-ssd-15-6-fhd-dos-tasinabilir-bilgisayar-21a4017dtx-p-456495609,14.490 TL
,4 GB,,,Bluetooth,SATA - VGA,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q İngilizce,,Oyun,,4.4,,,,Yok,IPS,,,16 GB,DDR4,Siyah,1 TB,Gen 4,AM5,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,4-6 Saat,https://www.trendyol.com//casper/excalibur-g770-1245-bfj0x-b-intel-core-i5-12450h-16gb-ram-1tb-ssd-gen4-4gb-rtx3050-freedos-p-356606061,26.299 TL
,16 GB,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtra2-intel-core-i5-11400h-16gb-512gb-ssd-rtx2050-freedos-15-6-fhd-144hz-p-764830041,25.499 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,Yok,IPS,,,8 GB,DDR5,Gri,512 GB,,,,3.2,,,,,,,,,1920 x 1080,Full HD (FHD),,7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-fa507nv-lp019w-ryzen7-7735hs-8gb-512gb-ssd-rtx4060-win-11-15-6-inc-fhd-144hz-p-732139809,37.925 TL
,32 GB,,,Bluetooth,,,2 - 4 kg,Var,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,4.7,,,,Yok,IPS,,,8 GB,DDR5,Siyah,512 GB,,,,3.7,,,,,,,,,1920 x 1080,Full HD (FHD),,7735HS,Belirtilmemiş,AMD Ryzen 7,16,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp052-amd-ryzen-7-7735hs-8gb-ddr5-512gb-ssd-6gb-rtx4050-15-6-144hz-dos-p-687053896,31.999 TL
,16 GB,,,USB,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.5,,,,Yok,IPS,,,16 GB,DDR4,Beyaz,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1032nt-intel-core-i5-12500h-16gb-512ssd-rtx4050-6gb-15-6-freedos-144-hz-fhd-tasinabi-p-744363474,28.299 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//technopc/t14n3-celeron-n3450-4gb-128gb-wifi-0-3m-7-4v-14-notebook-3g-tablet-p-315306563,6.590 TL
,16 GB,,,USB,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,165 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,5.0,,,,Yok,IPS,,,16 GB,DDR5,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1200,Full HD (FHD),,7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-16-an16-41-amd-ryzen-5-7640hs-16-gb-512-gb-ssd-rtx-4050-6-gb-freedos-16-fhd-165-hz-tasin-p-760506630,36.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,16 GB,DDR4,Gri,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-82s9016mtx-i5-12450h-16gb-1tb-rtx3050ti-120hz-freedos-gaming-laptop-p-767233054,26.499 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Paylaşımlı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5500U,Yok,AMD Ryzen 5,Belirtilmemiş,Free Dos,,https://www.trendyol.com//msi/modern-14-b5m-071xtr-r5-5500u-8gb-ddr4-512gb-ssd-14-fhd-dos-koyu-gri-p-234586331,22.499 TL
