marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,Cozunurluk,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
asus,Windows,Intel Celeron,13.0,1920 x 1080,256.0,16.0,0.0,60.0,Intel UHD Graphics 600,14.0,9.4041
asus,Windows,Intel Core i5,10.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,26.2332
apple,Mac Os,Apple M2 Max,12.0,3456 x 2234,1.0,32.0,1.0,120.0,M2 Max 38 Çekirdekli,14.0,113.3119
apple,Mac Os,Apple M1,3.0,2560 x 1600,256.0,8.0,250.0,120.0,Dahili Ekran Kartı,13.3,28.999
asus,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,21.2248
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,120.0,Nvidia GeForce GTX 1650,15.6,24.9321
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,34.999
casper,Free Dos,Intel Celeron,4.0,1280 x 800,120.0,8.0,0.0,60.0,Intel HD Graphics,15.6,8.427
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,17.3,57.449
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,26.984
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,256.0,60.0,Nvidia GeForce RTX 3050,15.6,27.399
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,24.934
acer,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.999
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,1.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,17.075
lenovo,Free Dos,AMD Athlon,10.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,8.9
lenovo,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,9.849
dell,Mac Os,Apple M1,13.0,2560 x 1600,1.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,15.1999
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,14.7456
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce MX350,15.6,14.999
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,13.189
msi,Windows,Intel Core i7,12.0,1920 x 1080,1.0,64.0,0.0,144.0,Nvidia GeForce RTX 4070,17.3,54.6359
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,14.434
lenovo,Windows,Intel Celeron,1.0,1366 x 768,256.0,4.0,0.0,60.0,Intel UHD Graphics 600,15.6,7.8282
acer,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,512.0,60.0,M1 7 Çekirdekli,14.0,19.5
hp,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,12.999
asus,Windows,Intel Core i5,10.0,1920 x 1080,1.0,8.0,0.0,60.0,Nvidia GeForce GTX 1650,15.6,27.6192
lenovo,Chrome OS,Intel Celeron,13.0,1366 x 768,0.0,4.0,0.0,60.0,Dahili Ekran Kartı,11.6,6.499
apple,Mac Os,M2,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M2 10 Çekirdekli,13.6,44.399
asus,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,0.0,60.0,M1 7 Çekirdekli,14.0,13.899
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,29.5438
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,31.999
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,120.0,Nvidia GeForce GTX 1650,15.6,21.198
msi,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,32.999
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,14.984
hp,Free Dos,AMD Ryzen 5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,10.0999
apple,Mac Os,M2,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M2 10 Çekirdekli,13.6,40.0813
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,27.099
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,28.2132
lenovo,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,18.799
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,8.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,22.999
apple,Mac Os,M2,2.0,2560 x 1600,256.0,8.0,256.0,120.0,M2 10 Çekirdekli,13.0,43.499
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,28.2105
lenovo,Windows,Intel Core i5,12.0,1920 x 1200,512.0,8.0,0.0,60.0,Intel Iris Graphics,14.0,23.999
asus,Windows,Intel Core i3,11.0,1920 x 1080,256.0,12.0,0.0,60.0,Intel UHD Graphics,15.6,10.699
dell,Windows,AMD Ryzen 5,13.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,24.899
asus,Windows,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,41.9444
lenovo,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,14.999
apple,Mac Os,Apple M2,1.0,2560 x 1600,256.0,8.0,250.0,120.0,M2 8 Çekirdekli,13.6,35.999
lenovo,Free Dos,AMD Ryzen 3,11.0,1366 x 768,256.0,4.0,0.0,60.0,Dahili Ekran Kartı,15.6,8.499
asus,Windows,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,40.775
msi,Windows,Intel Core i7,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4070,15.6,66.289
casper,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,1.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,13.4549
asus,Free Dos,Intel Core i3,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,10.999
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,28.2132
casper,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,13.999
hp,Free Dos,Intel Core i5,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,30.999
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.4118
asus,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,38.9744
msi,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce RTX 3050,15.6,25.699
hp,Mac Os,Apple M1,13.0,2560 x 1600,1.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,31.199
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,31.25
hp,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,14.7928
acer,Windows,Intel Core i5,12.0,1920 x 1080,256.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,23.5988
huawei,Windows,Intel Core i3,10.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,14.0,13.79
msi,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,16.899
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,1.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,16.984
asus,Windows,Intel Core i5,10.0,1920 x 1080,256.0,8.0,256.0,90.0,Intel XE Graphics,15.6,13.099
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,33.5
dell,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce MX350,15.6,15.9195
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,14.5058
hp,Free Dos,AMD Ryzen 7,6.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,16.1,26.595
msi,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,22.999
casper,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,11.689
hp,Free Dos,Intel Core i3,13.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,14.0,10.899
msi,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX3060,15.6,30.65
asus,Windows,Intel Core i7,12.0,3840 x 2160,0.0,16.0,1.0,60.0,Nvidia GeForce RTX3060,15.6,184.999
hp,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,90.0,Nvidia GeForce RTX 4050,15.6,29.799
hp,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,16.1,39.999
apple,Mac Os,M2,2.0,2560 x 1600,256.0,8.0,256.0,120.0,M2 10 Çekirdekli,13.0,41.899
huawei,Windows,Intel Core i9,13.0,1920 x 1200,1.0,16.0,0.0,60.0,Intel Iris Graphics,16.0,39.5
lenovo,Free Dos,AMD Ryzen 7,6.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050 Ti,15.6,25.999
huawei,Windows,Intel Core i5,10.0,1920 x 1080,512.0,8.0,512.0,60.0,Intel UHD Graphics 620,14.0,18.799
