marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
13,5,20,10.0,512.0,8.0,512.0,60.0,26,14.0,18.799
17,5,20,12.0,128.0,8.0,0.0,120.0,21,13.0,39.005
16,5,20,12.0,256.0,8.0,256.0,60.0,24,15.6,15.999
16,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,11.099
3,1,20,12.0,1.0,16.0,0.0,60.0,21,15.6,15.799
6,1,20,11.0,128.0,4.0,0.0,60.0,21,15.6,9.4041
11,1,20,13.0,512.0,16.0,0.0,144.0,45,15.6,26.999
2,5,20,12.0,512.0,8.0,0.0,60.0,14,14.0,25.999
16,5,20,12.0,512.0,8.0,512.0,60.0,24,15.6,15.999
16,5,20,10.0,512.0,8.0,0.0,60.0,40,15.6,15.625
18,1,20,12.0,1.0,32.0,0.0,60.0,21,14.1,23.499
11,5,21,13.0,1.0,32.0,0.0,60.0,27,14.0,60.562
11,5,8,5.0,512.0,16.0,0.0,60.0,12,15.6,13.999
11,1,7,11.0,256.0,8.0,0.0,60.0,14,15.6,10.0799
11,1,7,5.0,1.0,32.0,0.0,60.0,3,15.6,12.9999
0,5,20,12.0,512.0,8.0,0.0,144.0,45,15.6,22.999
1,3,27,13.0,256.0,16.0,0.0,60.0,31,13.6,46.96
0,1,20,12.0,512.0,8.0,0.0,144.0,45,15.6,22.07
1,3,13,1.0,256.0,8.0,250.0,120.0,31,13.6,35.999
16,1,8,5.0,512.0,16.0,0.0,60.0,3,15.6,13.995
19,1,21,12.0,512.0,16.0,0.0,144.0,54,15.6,42.999
18,1,22,13.0,2.0,64.0,0.0,240.0,57,17.0,138.999
0,1,20,11.0,512.0,8.0,0.0,60.0,42,15.6,16.499
2,1,20,11.0,256.0,8.0,0.0,60.0,21,15.6,12.799
4,1,20,11.0,512.0,8.0,0.0,60.0,21,15.6,12.869
1,3,10,13.0,256.0,8.0,0.0,60.0,14,13.3,36.399
16,5,20,12.0,512.0,8.0,500.0,144.0,45,15.6,27.449
16,1,21,11.0,512.0,16.0,0.0,165.0,45,15.6,28.599
3,1,21,11.0,500.0,8.0,0.0,60.0,14,15.6,16.999
4,1,19,11.0,0.0,8.0,1.0,60.0,16,14.0,9.399
3,5,17,13.0,120.0,4.0,0.0,60.0,25,15.6,7.999
2,1,8,7.0,512.0,16.0,0.0,144.0,53,15.6,31.899
3,1,21,12.0,2.0,32.0,0.0,144.0,54,15.6,41.799
3,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,27.399
13,3,10,13.0,512.0,16.0,0.0,60.0,28,16.0,24.999
11,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,28.999
3,1,21,12.0,2.0,32.0,0.0,60.0,14,15.6,20.999
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,43.699
4,1,21,13.0,512.0,16.0,0.0,120.0,45,15.6,34.999
13,5,22,13.0,1.0,16.0,0.0,60.0,27,16.0,37.989
2,1,21,13.0,512.0,16.0,0.0,165.0,53,16.0,42.399
18,1,20,12.0,512.0,16.0,0.0,120.0,21,15.6,19.249
0,1,20,11.0,512.0,8.0,0.0,60.0,14,15.6,12.499
19,1,21,12.0,1.0,16.0,0.0,144.0,53,17.3,46.499
16,1,17,13.0,128.0,4.0,0.0,60.0,25,14.0,8.333
0,1,19,11.0,256.0,8.0,0.0,60.0,24,15.6,9.699
11,1,20,12.0,512.0,8.0,0.0,60.0,21,15.6,24.322
11,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,28.2646
25,5,21,11.0,512.0,16.0,0.0,90.0,27,15.6,29.999
11,1,6,7.0,256.0,8.0,0.0,60.0,3,15.6,10.15
20,5,20,12.0,256.0,8.0,0.0,60.0,21,13.3,39.9
0,1,7,6.0,512.0,8.0,0.0,144.0,45,15.6,23.499
16,1,20,11.0,512.0,8.0,0.0,60.0,27,15.6,14.299
